팔	규모	changed	회차3최솟값ms	회차간분산	두규모의비	색인이득배	산출
① symbol	2000	해당없음	0.0382	1.02	3.46	—	500
② callers	2000	해당없음	0.5782	1.01	3.59	—	2499
③ closure(2)	2000	해당없음	2.0650	1.10	3.60	—	4494
① symbol	8000	해당없음	0.1321	1.01	3.46	—	2000
② callers	8000	해당없음	2.0740	1.01	3.59	—	9999
③ closure(2)	8000	해당없음	7.4340	1.07	3.60	—	17994
④-가 WATCH 색인 조회	2000	1	0.0108	3.83	0.91	114.892	1
④-나 전수 훑기	2000	1	1.2450	1.47	1.00	—	1
④-가 WATCH 색인 조회	2000	801	1.7440	1.24	0.96	0.636	200
④-나 전수 훑기	2000	801	1.1080	1.06	0.99	—	200
④-가 WATCH 색인 조회	8000	1	0.0098	3.64	0.91	126.898	1
④-나 전수 훑기	8000	1	1.2480	1.19	1.00	—	1
④-가 WATCH 색인 조회	8000	801	1.6690	1.16	0.96	0.658	200
④-나 전수 훑기	8000	801	1.0980	1.01	0.99	—	200
