round	changed_k	fn	ns_per_op	iters	hits
1	-	all	137113.44384765625	4096	37
1	1	watching	4262.3628005981445	262144	1
1	2	watching	7409.21337890625	65536	2
1	3	watching	10724.950790405273	65536	3
1	4	watching	13854.00326538086	65536	4
1	5	watching	17153.568908691406	65536	5
1	6	watching	20582.384765625	16384	6
1	7	watching	30143.31561279297	16384	8
1	8	watching	35007.69549560547	16384	9
1	9	watching	38064.43786621094	16384	10
1	10	watching	42334.12677001953	16384	11
1	11	watching	45536.32861328125	16384	12
1	12	watching	49963.29748535156	16384	14
1	13	watching	54088.055908203125	16384	15
1	14	watching	57317.148864746094	16384	16
1	15	watching	60814.35137939453	16384	17
1	16	watching	63976.097106933594	16384	18
1	17	watching	68331.77435302734	16384	19
1	18	watching	72218.08367919922	16384	20
1	19	watching	76075.82592773438	4096	21
1	20	watching	83736.65380859375	4096	23
1	21	watching	88828.09448242188	4096	24
1	22	watching	90729.00390625	4096	25
1	23	watching	94166.95141601563	4096	26
1	24	watching	99688.15112304688	4096	27
1	25	watching	104523.28491210938	4096	28
1	26	watching	106814.83984375	4096	29
1	27	watching	111530.45654296875	4096	30
1	28	watching	117485.77880859375	4096	31
1	29	watching	121551.61547851563	4096	32
1	30	watching	132209.61499023438	4096	33
1	31	watching	135566.02978515625	4096	34
1	32	watching	139681.15234375	4096	35
1	33	watching	145029.490234375	4096	36
1	34	watching	147378.37719726563	4096	37
2	-	all	136952.36206054688	4096	37
2	1	watching	4263.932865142822	262144	1
2	2	watching	7410.478591918945	65536	2
2	3	watching	10741.004302978516	65536	3
2	4	watching	13867.263153076172	65536	4
2	5	watching	17188.343673706055	65536	5
2	6	watching	21213.81884765625	16384	6
2	7	watching	30031.224609375	16384	8
2	8	watching	34804.04406738281	16384	9
2	9	watching	38223.72186279297	16384	10
2	10	watching	42237.43438720703	16384	11
2	11	watching	45225.145935058594	16384	12
2	12	watching	50171.75549316406	16384	14
2	13	watching	53915.392578125	16384	15
2	14	watching	57511.41357421875	16384	16
2	15	watching	61019.63293457031	16384	17
2	16	watching	64262.09765625	16384	18
2	17	watching	67407.03839111328	16384	19
2	18	watching	72383.03625488281	16384	20
2	19	watching	75754.66918945313	4096	21
2	20	watching	82945.09887695313	4096	23
2	21	watching	88399.01733398438	4096	24
2	22	watching	90456.94995117188	4096	25
2	23	watching	94885.97607421875	4096	26
2	24	watching	98137.55297851563	4096	27
2	25	watching	103277.71997070313	4096	28
2	26	watching	106505.38134765625	4096	29
2	27	watching	110605.25512695313	4096	30
2	28	watching	116278.80859375	4096	31
2	29	watching	121841.77661132813	4096	32
2	30	watching	131255.46264648438	4096	33
2	31	watching	134973.14453125	4096	34
2	32	watching	140416.83959960938	4096	35
2	33	watching	143622.24340820313	4096	36
2	34	watching	146893.60571289063	4096	37
3	-	all	136876.7802734375	4096	37
3	1	watching	4237.896759033203	262144	1
3	2	watching	7355.112075805664	65536	2
3	3	watching	10670.140579223633	65536	3
3	4	watching	13853.783294677734	65536	4
3	5	watching	17109.861373901367	65536	5
3	6	watching	20445.058166503906	16384	6
3	7	watching	30018.422485351563	16384	8
3	8	watching	34850.56561279297	16384	9
3	9	watching	37726.68713378906	16384	10
3	10	watching	41988.27868652344	16384	11
3	11	watching	45106.183349609375	16384	12
3	12	watching	49562.17449951172	16384	14
3	13	watching	53795.636474609375	16384	15
3	14	watching	57776.36462402344	16384	16
3	15	watching	60748.708068847656	16384	17
3	16	watching	64348.92529296875	16384	18
3	17	watching	67553.955078125	16384	19
3	18	watching	71795.95697021484	16384	20
3	19	watching	76019.68383789063	4096	21
3	20	watching	83354.19702148438	4096	23
3	21	watching	88786.68212890625	4096	24
3	22	watching	91103.2509765625	4096	25
3	23	watching	94368.56079101563	4096	26
3	24	watching	99025.50244140625	4096	27
3	25	watching	102994.4560546875	4096	28
3	26	watching	109243.83544921875	4096	29
3	27	watching	113332.21435546875	4096	30
3	28	watching	116920.2373046875	4096	31
3	29	watching	119663.279296875	4096	32
3	30	watching	130742.54345703125	4096	33
3	31	watching	134790.4052734375	4096	34
3	32	watching	140917.96875	4096	35
3	33	watching	143480.23486328125	4096	36
3	34	watching	146258.48388671875	4096	37
