round	changed_k	fn	ns_per_op	iters	hits
1	-	all	140027.9033203125	4096	37
1	1	watching	4245.267551422119	262144	1
1	4	watching	13855.58381652832	65536	4
1	19	watching	76352.72216796875	4096	21
1	34	watching	148815.32788085938	4096	37
2	-	all	137157.20629882813	4096	37
2	1	watching	4246.0527420043945	262144	1
2	4	watching	13900.796264648438	65536	4
2	19	watching	77161.71264648438	4096	21
2	34	watching	147742.57397460938	4096	37
3	-	all	136231.77075195313	4096	37
3	1	watching	4238.930702209473	262144	1
3	4	watching	13841.832473754883	65536	4
3	19	watching	75203.22680664063	4096	21
3	34	watching	148367.15698242188	4096	37
