결박id	tsv_digest차이	재계산_digest차이	tsv_base에없던	재계산_base에없던	같나
1cc70cc19ef92186	거짓	거짓	0	0	같다
1cf63ec5e0e9937a	거짓	거짓	0	0	같다
389ce29274d77a47	거짓	거짓	0	0	같다
39b92bd51bbc82c6	거짓	거짓	0	0	같다
3d9979946eb321de	거짓	거짓	3	3	같다
4065e80475cf1c72	거짓	거짓	0	0	같다
45d8808585ee0d50	거짓	거짓	2	2	같다
4841643fa986aecb	거짓	거짓	0	0	같다
49714573e0fa654c	참	참	0	0	같다
5b9331b398e8ff23	거짓	거짓	0	0	같다
5e6bbbac89053565	거짓	거짓	1	1	같다
6192ba6df5242980	거짓	거짓	0	0	같다
6968674d8aa1bc2f	거짓	거짓	0	0	같다
6c0e8ea521d0b2ac	거짓	거짓	0	0	같다
746a7761356136d8	거짓	거짓	0	0	같다
7793c31caa5c4bc2	거짓	거짓	0	0	같다
819fb73f9caf7f22	거짓	거짓	0	0	같다
822ebf9b8071c799	거짓	거짓	0	0	같다
82d726bad31e77f6	거짓	거짓	0	0	같다
8597d886cb7afc70	거짓	거짓	0	0	같다
91cdc3add647a3f7	거짓	거짓	0	0	같다
969991a119d4c1ef	거짓	거짓	0	0	같다
a47cd21ca1fbc524	거짓	거짓	0	0	같다
a5b4ba095bf405f7	거짓	거짓	0	0	같다
b52057859bf405eb	거짓	거짓	0	0	같다
bd71eaa617e123bc	거짓	거짓	0	0	같다
c201c01b6b0aff9a	거짓	거짓	1	1	같다
cbd70e3e8dfca3ba	거짓	거짓	0	0	같다
cc2cee65c3c176ab	거짓	거짓	0	0	같다
ce25c6f23f0a8992	거짓	거짓	0	0	같다
d716d09163a6d0ab	거짓	거짓	3	3	같다
ddb749e489242cab	거짓	거짓	0	0	같다
e3baa46390859ef3	거짓	거짓	0	0	같다
e64fd4f5378c5f20	거짓	거짓	0	0	같다
f4ba084c7a3838be	거짓	거짓	0	0	같다
fcd48a9033fd1fb0	거짓	거짓	0	0	같다
fd4efc1eaea040c4	거짓	거짓	0	0	같다
