n	소요초	가드	근거좌표	표시
1	273.7	가드(인증)	GlobalExceptionHandler#handleDomainException	시간제외
2	216.8	가드(인증)	DwpAuthServiceImpl#validateDwpTokenFromRequest	시간제외
3	79.4	가드(인증)	자신	
4	165.0	가드(인가)	getAvailableScopes	
5	31.3	가드(인증)	AuthenticationServiceImpl#validateToken	
6	22.9	아니오	없음	
7	18.7	아니오	없음	
8	14.7	아니오	없음	
9	30.1	아니오	없음	
10	17.5	아니오	없음	
11	25.7	가드(인가)	자신	
12	30.3	가드(인가)	자신	
13	18.8	아니오	없음	
14	43.5	가드(인증)	자신	
15	44.1	가드(인가)	자신	
16	20.0	아니오	없음	
17	21.8	아니오	없음	
18	205.8	아니오	없음	
19	13.3	아니오	없음	
20	16.9	아니오	없음	
21	27.2	아니오	없음	
22	43.4	아니오	없음	
23	31.3	아니오	없음	
24	25.7	아니오	없음	
25	39.4	가드(인가)	자신	
26	35.6	아니오	없음	
